question_id,question_text,option_A,option_B,option_C,option_D,correct_answer,section,category,difficulty,language
Q_0001,What does a red circular sign with a white horizontal bar in the middle mean?,No Entry,Stop,Speed Limit 50,One Way,A,Section 115,signs,easy,en
Q_0002,What shape are mandatory/regulatory traffic signs in India?,Circular,Triangular,Rectangular,Hexagonal,A,Section 112,signs,easy,en
Q_0003,What shape are cautionary/warning traffic signs in India?,Triangular,Circular,Rectangular,Octagonal,A,Section 112,signs,easy,en
Q_0004,What does a flashing yellow traffic signal mean?,Slow down and proceed with caution,Stop completely,Accelerate to clear intersection,Road closed ahead,A,Section 112,signals,medium,en
Q_0005,When is it legal to overtake a vehicle from its left?,When the driver ahead is turning right and has signaled,When there is enough space in the left lane,On all broad city highways,Overtaking on left is never permitted,A,Section 112,rules,medium,en
Q_0006,What is the legal limit of alcohol concentration in blood during driving in India?,30 mg per 100 ml of blood,50 mg per 100 ml of blood,100 mg per 100 ml of blood,0 mg (zero tolerance),A,Section 185,rules,easy,en
Q_0007,What is the primary action in AIIMS Golden Hour emergency protocol for a bleeding victim?,Apply direct pressure with a clean cloth,Give them water to drink,Perform CPR immediately,Wait for police permission,A,Section 134,first_aid,easy,en
Q_0008,"Under the Good Samaritan Law, a helper is legally protected from:",Both civil and criminal liabilities,Only civil liability,Only criminal liability,No legal protection is guaranteed,A,Section 134A,first_aid,easy,en
Q_0009,What does a blue rectangular sign indicating a telephone symbol represent?,Public telephone booth ahead,Mobile network available,Silence zone,Mandatory call station,A,Section 112,signs,easy,en
Q_0010,What is the minimum age to drive a gearless motorcycle in a public place in India?,16 years,18 years,15 years,21 years,A,Section 4,rules,easy,en
Q_0011,What is the legal consequence under Section 194 for permitting an unlicensed driver to operate your motorcycle?,A minor warning fine of ₹500,"Fine of ₹5,000 and owner prosecution",No penalty if owner is riding with them,Subject only to vehicle fitness checking,B,Section 194,rules,easy,en
Q_0012,What is the legal consequence under Section 3 for permitting an unlicensed driver to operate your car?,No penalty if owner is riding with them,Subject only to vehicle fitness checking,A minor warning fine of ₹500,"Fine of ₹5,000 and owner prosecution",D,Section 3,rules,medium,en
Q_0013,What should you do when approaching an intersection where the traffic signal shows a steady 'Amber/Yellow' light?,Honk continuously to force others ahead,Stop right in the middle of the intersection,Accelerate as fast as possible to beat the light,Slow down and prepare to stop,D,Section 134A,signals,medium,en
Q_0014,"While driving on Expressways, what is the standard right of way rules for roundabout entry?",Wait for signal from oncoming transport,Honk and claim priority,Yield to the traffic coming from the right/main carriage,Proceed with highest speed to clear early,C,Section 194A,rules,hard,en
Q_0015,"Under Section 115, driving a vehicle at a speed of 99 km/h in a Ghat Roads speed limit zone of 80 km/h is:",Perfectly fine for private passenger cars,Permitted under emergency situations,An overspeeding offense carrying a heavy fine,Subject only to verbal warnings,C,Section 115,rules,hard,en
Q_0016,"In a motor accident on a highway, if a crash victim is unconscious but breathing, the Good Samaritan should first:",Move them around aggressively to check for broken bones,Try to force them to stand up and walk around,Apply direct compression to bleeding or place in recovery position,Give them hot tea or coffee to restore energy,C,Section 194A,first_aid,easy,en
Q_0017,What is the regulatory action required under Section 119 for the 'Give Way' sign?,Applies only to heavy transport vehicles,It is only a recommendation,Strict compliance is mandatory,Applies only during night time,C,Section 194A,signs,medium,en
Q_0018,"Under Section 115, driving a vehicle at a speed of 66 km/h in a National Highways speed limit zone of 40 km/h is:",An overspeeding offense carrying a heavy fine,Permitted under emergency situations,Perfectly fine for private passenger cars,Subject only to verbal warnings,A,Section 115,rules,hard,en
Q_0019,What does the traffic sign 'Speed Limit 80' represent?,Warning of 'Speed Limit 80' ahead,Mandatory 'Speed Limit 80' restriction,Exemption from 'Speed Limit 80' rules,Information about 'Speed Limit 80' lane,B,Section 190(2),signs,hard,en
Q_0020,"Under Section 177, driving a vehicle at a speed of 85 km/h in a State Highways speed limit zone of 50 km/h is:",An overspeeding offense carrying a heavy fine,Subject only to verbal warnings,Permitted under emergency situations,Perfectly fine for private passenger cars,A,Section 177,rules,hard,en
Q_0021,What is the legal consequence under Section 194A for permitting an unlicensed driver to operate your heavy truck?,No penalty if owner is riding with them,Subject only to vehicle fitness checking,A minor warning fine of ₹500,"Fine of ₹5,000 and owner prosecution",D,Section 194A,rules,hard,en
Q_0022,"While driving on National Highways, what is the standard right of way rules for intersection crossing?",Honk and claim priority,Yield to the traffic coming from the right/main carriage,Wait for signal from oncoming transport,Proceed with highest speed to clear early,B,Section 122,rules,hard,en
